game_id,team_id_h,cluster_0h,cluster_1h,cluster_2h,cluster_3h,cluster_4h,cluster_5h,cluster_6h,cluster_7h,cluster_8h,cluster_9h,cluster_10h,cluster_11h,team_id_a,cluster_0a,cluster_1a,cluster_2a,cluster_3a,cluster_4a,cluster_5a,cluster_6a,cluster_7a,cluster_8a,cluster_9a,cluster_10a,cluster_11a
20300049,1610612751,0,0,1,0,0,2,1,0,1,4,1,0,1610612745,1,0,1,0,1,0,1,0,2,5,0,1
20300050,1610612749,2,0,0,0,0,1,2,0,0,6,0,0,1610612747,0,0,0,0,0,1,3,0,0,5,1,1
20300051,1610612759,0,0,1,0,1,2,0,0,2,3,1,0,1610612748,1,0,2,0,0,1,0,0,2,5,0,0
20300052,1610612755,0,0,1,0,0,2,1,0,1,5,1,1,1610612740,1,0,2,0,0,1,0,0,1,5,0,1
20300053,1610612764,1,0,1,0,1,3,0,0,0,5,1,0,1610612742,2,0,0,0,0,2,1,0,0,5,1,1
20300054,1610612753,1,0,0,0,0,0,2,0,1,6,0,1,1610612741,1,0,1,0,0,1,1,0,1,5,1,0
20300055,1610612752,1,0,0,0,2,1,0,0,1,5,1,1,1610612749,2,0,1,0,0,0,1,0,2,5,0,0
20300056,1610612765,0,0,2,0,2,2,0,0,0,3,0,2,1610612738,0,0,1,0,0,2,1,0,0,5,1,1
20300057,1610612739,0,0,0,0,0,0,2,0,1,7,2,0,1610612743,1,0,1,0,2,1,1,0,1,5,0,0
20300058,1610612750,0,0,1,0,1,2,1,0,0,5,2,0,1610612758,1,0,0,0,0,0,2,0,1,6,1,1
20300059,1610612762,0,0,0,0,1,2,3,0,1,4,1,0,1610612756,1,0,1,0,0,2,2,0,0,4,1,0
20300060,1610612744,2,0,0,0,0,1,3,0,2,2,0,0,1610612737,2,0,1,0,1,1,1,0,0,4,1,0
20300061,1610612757,1,0,1,0,0,1,1,0,1,4,1,0,1610612763,0,0,1,0,0,2,2,0,2,5,0,0
20300062,1610612751,0,0,2,0,0,1,0,0,1,4,1,1,1610612754,0,0,1,0,0,2,2,0,0,6,0,1
20300063,1610612761,0,0,2,0,0,3,0,0,1,5,0,1,1610612742,2,0,1,0,0,2,0,0,0,5,0,1
20300064,1610612759,0,0,1,0,1,4,0,0,1,2,1,0,1610612747,0,0,0,0,0,2,2,0,0,5,1,1
20300065,1610612764,1,0,2,0,0,3,0,0,0,5,1,0,1610612761,0,0,3,0,0,2,0,0,1,5,0,1
20300066,1610612738,0,0,2,0,0,3,1,0,1,3,0,1,1610612751,0,0,2,0,0,2,1,0,1,3,1,0
20300067,1610612752,0,0,0,0,2,1,0,0,0,6,1,2,1610612758,1,0,0,0,0,0,2,0,1,6,1,1
20300068,1610612754,0,0,1,0,0,2,2,0,0,6,0,1,1610612739,0,0,0,0,0,1,2,0,0,6,2,0
20300069,1610612753,1,0,0,0,0,1,2,0,0,7,0,1,1610612750,0,0,2,0,1,1,1,0,0,5,2,0
20300070,1610612740,1,0,2,0,0,2,0,0,1,4,0,1,1610612747,0,0,0,0,0,2,2,0,0,5,1,1
20300071,1610612765,1,0,1,0,3,1,0,0,0,4,0,2,1610612749,2,0,1,0,0,0,1,0,2,6,0,0
20300072,1610612741,1,0,2,0,1,0,0,0,2,4,1,0,1610612755,1,0,1,0,0,2,1,0,1,5,0,1
20300073,1610612743,1,0,1,0,1,1,0,0,0,6,1,1,1610612746,1,0,2,0,0,2,0,0,0,5,0,1
20300074,1610612756,1,0,1,0,0,1,2,0,0,5,1,0,1610612763,0,0,1,0,1,2,1,0,3,4,0,0
20300075,1610612744,3,0,0,0,0,1,1,0,2,3,0,0,1610612762,1,0,0,0,1,1,1,0,1,4,1,0
20300076,1610612760,1,0,1,0,1,0,0,0,1,5,1,2,1610612757,0,0,1,0,0,1,2,0,1,6,1,0
20300077,1610612748,0,0,2,0,0,3,0,0,2,4,0,1,1610612750,1,0,2,0,0,1,1,0,0,6,1,0
20300078,1610612739,1,0,0,0,1,0,2,0,0,6,2,0,1610612764,2,0,1,0,0,3,0,0,0,5,1,0
20300079,1610612740,1,0,1,0,0,2,1,0,1,4,0,1,1610612741,1,0,0,0,0,1,1,0,2,4,1,0
20300080,1610612749,2,0,1,0,0,0,1,0,2,6,0,0,1610612752,0,0,0,0,2,0,0,0,0,7,1,2
20300081,1610612745,1,0,0,0,1,0,1,0,1,6,0,1,1610612753,1,0,0,0,0,1,2,0,0,7,0,1
20300082,1610612759,0,0,0,0,2,3,1,0,2,3,1,0,1610612742,2,0,0,0,0,2,0,0,0,6,1,1
20300083,1610612762,0,0,0,0,1,1,3,0,1,5,1,0,1610612763,0,0,2,0,1,1,1,0,3,3,0,0
20300084,1610612757,1,0,1,0,0,1,1,0,2,6,0,0,1610612737,2,0,1,0,1,1,1,0,0,5,1,0
20300085,1610612761,0,0,3,0,0,2,0,0,1,5,0,1,1610612743,1,0,1,0,1,0,0,0,0,6,1,1
20300086,1610612738,0,0,2,0,0,3,1,0,1,4,0,1,1610612758,1,0,0,0,0,0,2,0,1,6,1,1
20300087,1610612755,1,0,1,0,0,2,0,0,1,5,0,1,1610612754,0,0,1,0,0,3,1,0,0,6,0,1
20300088,1610612765,0,0,1,0,3,1,0,0,0,5,0,2,1610612751,0,0,2,0,0,1,1,0,1,3,1,0
20300089,1610612760,1,0,1,0,1,0,0,0,1,5,1,2,1610612737,2,0,1,0,1,1,1,0,0,5,0,1
20300090,1610612739,0,0,0,0,1,1,2,0,0,6,2,0,1610612752,0,0,0,0,2,1,0,0,0,6,1,2
20300091,1610612763,0,0,3,0,0,2,1,0,3,3,0,0,1610612747,0,0,0,0,0,2,2,0,0,6,1,1
20300092,1610612741,1,0,0,0,0,1,1,0,2,5,1,0,1610612743,1,0,1,0,1,1,0,0,0,5,1,1
20300093,1610612759,0,0,0,0,2,3,1,0,1,4,1,0,1610612762,1,0,0,0,1,1,2,0,2,4,0,0
20300094,1610612744,2,0,0,0,1,1,0,0,3,2,0,1,1610612756,1,0,1,0,0,1,2,0,0,5,1,0
20300095,1610612764,2,0,0,0,1,3,0,0,0,5,1,0,1610612755,0,0,1,0,0,2,0,0,1,5,0,1
20300096,1610612754,0,0,1,0,0,3,1,0,0,6,0,1,1610612738,0,0,2,0,0,3,1,0,1,4,0,1
20300097,1610612750,1,0,2,0,0,1,1,0,0,6,1,0,1610612760,0,0,1,0,1,0,0,0,1,6,1,2
20300098,1610612742,2,0,0,0,0,1,0,0,0,6,1,1,1610612740,1,0,2,0,0,2,0,0,1,4,0,1
20300099,1610612745,1,0,0,0,1,1,1,0,1,6,0,1,1610612748,0,0,2,0,0,3,0,0,2,4,0,1
20300100,1610612758,1,0,0,0,0,0,2,0,1,6,1,1,1610612765,0,0,2,0,1,1,0,0,0,5,0,2
20300101,1610612757,1,0,1,0,0,0,1,0,3,6,0,0,1610612761,0,0,3,0,0,2,0,0,1,5,0,1
20300102,1610612746,0,0,2,0,0,2,0,0,1,4,0,2,1610612737,2,0,0,0,1,1,1,0,0,6,1,0
20300103,1610612738,0,0,1,0,0,4,1,0,1,4,0,1,1610612741,1,0,0,0,0,2,1,0,2,3,1,0
20300104,1610612751,0,0,2,0,0,1,2,0,1,4,1,0,1610612759,0,0,0,0,2,4,1,0,1,3,1,0
20300105,1610612753,1,0,0,0,0,1,2,0,0,6,0,1,1610612763,0,0,3,0,0,2,1,0,2,4,0,0
20300106,1610612748,1,0,2,0,0,2,0,0,3,4,0,0,1610612739,0,0,1,0,1,1,2,0,0,5,2,0
20300107,1610612740,1,0,2,0,0,2,0,0,1,5,0,1,1610612762,1,0,0,0,1,2,2,0,2,4,0,0
20300108,1610612749,2,0,1,0,0,0,1,0,2,6,0,0,1610612760,1,0,1,0,1,0,0,0,0,6,1,2
20300109,1610612756,1,0,1,0,0,1,2,0,0,6,1,0,1610612737,2,0,1,0,1,1,1,0,0,5,1,0
20300110,1610612744,2,0,0,0,1,1,1,0,0,3,1,0,1610612765,0,0,2,0,2,1,0,0,0,5,0,2
20300111,1610612747,0,0,0,0,0,2,2,0,0,5,1,1,1610612761,0,0,3,0,0,2,0,0,1,5,0,1
20300112,1610612742,1,0,0,0,0,2,1,0,0,6,1,1,1610612745,1,0,0,0,1,1,1,0,0,7,0,1
20300113,1610612741,1,0,0,0,0,1,1,0,3,4,1,0,1610612750,1,0,1,0,0,2,1,0,0,6,1,0
20300114,1610612757,1,0,1,0,0,0,1,0,2,6,1,0,1610612758,1,0,1,0,0,0,2,0,1,5,1,1
20300115,1610612738,0,0,2,0,0,3,1,0,1,4,0,1,1610612739,0,0,1,0,0,1,2,0,1,5,2,0
20300116,1610612751,1,0,2,0,0,1,2,0,0,5,1,0,1610612752,0,0,1,0,1,1,1,0,1,6,0,1
20300117,1610612748,0,0,2,0,0,3,0,0,1,4,1,1,1610612764,2,0,0,0,1,3,0,0,0,5,0,1
20300118,1610612754,0,0,1,0,0,3,1,0,0,6,0,1,1610612760,1,0,1,0,1,0,0,0,0,6,1,2
20300119,1610612755,0,0,1,0,0,1,0,0,1,5,0,1,1610612759,0,0,1,0,1,4,1,0,1,3,1,0
20300120,1610612750,1,0,2,0,0,1,1,0,0,6,1,0,1610612762,1,0,0,0,1,3,2,0,1,3,1,0
20300121,1610612745,1,0,0,0,1,1,1,0,0,7,0,1,1610612756,1,0,1,0,0,1,2,0,0,6,0,1
20300122,1610612758,2,0,0,0,0,0,2,0,1,6,1,0,1610612761,0,0,3,0,0,2,0,0,1,5,0,1
20300123,1610612743,1,0,1,0,1,2,0,0,0,5,1,1,1610612753,0,0,0,0,0,1,2,0,0,6,1,1
20300124,1610612747,0,0,0,0,0,2,2,0,0,6,1,1,1610612765,0,0,3,0,1,1,0,0,0,5,0,2
20300125,1610612744,2,0,0,0,2,2,1,0,0,4,1,0,1610612746,0,0,2,0,0,3,0,0,1,3,0,2
20300126,1610612740,1,0,3,0,0,2,0,0,1,4,0,1,1610612757,1,0,1,0,0,0,1,0,1,6,2,0
20300127,1610612764,2,0,0,0,1,2,0,0,0,5,0,1,1610612759,0,0,0,0,1,5,2,0,0,3,1,0
20300128,1610612737,2,0,1,0,1,2,1,0,0,4,1,0,1610612751,0,0,2,0,0,1,2,0,1,5,1,0
20300129,1610612752,0,0,1,0,1,1,0,0,1,6,0,2,1610612754,0,0,1,0,0,3,1,0,0,5,0,1
20300130,1610612739,0,0,1,0,0,1,2,0,1,5,2,0,1610612755,0,0,1,0,0,2,0,0,1,4,0,1
20300131,1610612763,0,0,3,0,0,2,1,0,1,4,1,0,1610612742,1,0,0,0,0,1,1,0,0,6,1,1
20300132,1610612741,1,0,0,0,1,1,1,0,3,4,0,0,1610612760,1,0,1,0,1,0,0,0,0,6,1,2
20300133,1610612749,2,0,2,0,0,1,0,0,2,5,0,0,1610612762,1,0,1,0,1,2,2,0,1,3,1,0
20300134,1610612756,1,0,1,0,0,0,2,0,0,7,0,1,1610612765,0,0,3,0,1,1,0,0,0,5,0,2
20300135,1610612746,0,0,2,0,0,0,0,0,1,7,0,2,1610612753,1,0,1,0,0,0,2,0,0,5,0,1
20300136,1610612761,0,0,3,0,0,2,0,0,1,5,0,1,1610612745,1,0,0,0,1,2,1,0,0,6,0,1
20300137,1610612758,1,0,0,0,0,0,2,0,1,6,1,1,1610612744,1,0,0,0,1,2,0,0,1,5,0,1
20300138,1610612747,0,0,0,0,0,2,2,0,0,6,1,1,1610612748,0,0,2,0,0,2,0,0,2,4,1,1
20300139,1610612755,0,0,2,0,1,1,0,0,1,4,0,1,1610612745,1,0,0,0,1,1,1,0,0,7,0,1
20300140,1610612752,0,0,1,0,1,1,0,0,1,6,0,2,1610612738,0,0,2,0,0,3,1,0,1,4,0,1
20300141,1610612737,2,0,1,0,1,2,1,0,0,4,0,1,1610612764,2,0,0,0,1,2,0,0,0,5,0,1
20300142,1610612742,1,0,1,0,0,1,2,0,0,4,1,0,1610612757,1,0,1,0,0,0,1,0,2,6,1,0
20300143,1610612762,0,0,1,0,1,3,2,0,1,3,1,0,1610612753,1,0,0,0,0,2,2,0,0,6,0,1
20300144,1610612739,0,0,1,0,0,1,2,0,1,5,2,0,1610612746,0,0,1,0,0,1,0,0,1,7,0,2
20300145,1610612751,1,0,2,0,0,1,2,0,0,4,1,0,1610612740,1,0,2,0,0,3,0,0,0,5,0,1
20300146,1610612765,0,0,3,0,1,1,0,0,0,5,0,2,1610612747,0,0,0,0,0,2,2,0,0,6,1,1
20300147,1610612749,2,0,2,0,0,1,0,0,2,5,0,0,1610612737,2,0,1,0,1,2,1,0,0,4,0,1
20300148,1610612750,1,0,2,0,0,1,1,0,0,6,1,0,1610612743,1,0,0,0,1,2,0,0,0,5,1,1
20300149,1610612759,0,0,1,0,1,5,1,0,0,3,1,0,1610612744,1,0,0,0,1,2,0,0,1,5,1,1
20300150,1610612756,1,0,1,0,0,0,2,0,0,6,1,0,1610612741,1,0,0,0,1,2,1,0,3,3,0,0
20300151,1610612760,1,0,2,0,0,1,0,0,0,5,1,2,1610612748,0,0,2,0,0,2,0,0,1,5,1,1
20300152,1610612738,0,0,2,0,0,3,1,0,1,4,0,1,1610612740,1,0,2,0,0,2,0,0,1,5,0,1
20300153,1610612764,2,0,0,0,1,2,0,0,0,5,0,1,1610612739,0,0,1,0,0,1,1,0,1,5,2,0
20300154,1610612761,0,0,2,0,1,2,0,0,1,5,0,1,1610612755,0,0,2,0,1,1,0,0,0,4,1,0
20300155,1610612754,1,0,1,0,0,2,0,0,0,6,0,1,1610612746,0,0,2,0,0,2,0,0,0,5,0,2
20300156,1610612752,0,0,1,0,1,1,0,0,1,6,0,1,1610612747,0,0,0,0,0,2,2,0,0,6,1,1
20300157,1610612745,1,0,1,0,1,1,1,0,0,6,0,1,1610612744,3,0,0,0,1,1,0,0,0,6,0,0
