,player_id,player_name,game_id,home_team_id,visitor_team_id,season,team_id,played,mpg,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,cluster,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
0,15,Eric Piatkowski,6823011599,531502207347,531502207285,661628,531502206670,330,2529.732594700877,285.2367274025685,720.6884749499496,66.93229143279208,159.77462329028373,427.10430928335074,54.34061017060269,87.6629563797648,107.69451487782062,37.40101129684339,36.92027024344291,205.17440918803027,242.0946794314732,119.98966602348143,64.16408225102357,13.944525921960937,105.929946985738,185.0215282875847,817.9110344751855,2910,0,0,0,0,0,15,0,0,0,315,0,0
1,43,Chris Whitney,649611367,51539608150,51539608332,64096,51539608448,32,191.1565531781404,16.995314446420682,45.877002957494035,4.366456570101442,8.499764074706436,16.45537541349437,4.632978700766094,3.772164344370967,3.772164344370967,2.224965273289247,4.4754744862984595,9.210648064589511,13.686122550887971,18.704688646867194,8.484484473044185,1.4180324044150532,4.191953496109184,5.046135730283678,46.26255731191877,288,0,0,0,0,0,0,0,0,0,32,0,0
2,56,Gary Payton,6501087200,507343015731,507343015804,631409,507343014768,315,9681.56817212884,1363.9181122402645,3000.913285237015,136.78143975634,205.65621403327123,671.2943935193944,81.37409343356609,545.0130151492573,741.131659294327,150.65009203458231,197.68406694481436,846.5029490164619,1044.1870159612763,1536.0144790269808,331.09597983200246,56.61815871496828,504.57230933195905,614.5643019674624,3478.5054536630573,2749,0,0,0,0,0,50,0,0,49,53,163,0
3,57,Doug Christie,3115580817,246423751348,246423751194,306555,246423751619,153,4817.72016214302,528.41297682005,1178.0230382307075,66.06866319230312,67.22671942577722,206.4871023773789,28.54610024939778,253.916715134458,294.17298450353667,83.18143298911232,114.03131151954273,461.5119756428337,575.5432871623764,607.0003674398927,256.40141876581936,67.34293993159758,278.1788659596573,346.57830657659025,1377.9693882003353,1227,0,0,0,0,0,0,0,0,150,3,0,0
4,72,Kenny Anderson,2339760602,185220466108,185220466129,230397,185220465907,115,2050.27002319197,242.05767398370978,569.086168470375,38.42027103797512,3.9272289192116707,11.821192013100783,3.0299465144838074,70.0858405651747,95.61150067926692,27.542604645104042,43.36860086667322,151.0636427780632,194.43224364473645,284.5862836223788,62.14629770133451,9.938093376941373,125.00915469271818,168.56340978513646,558.128417451806,1027,0,0,0,0,0,0,0,0,8,107,0,0
5,77,Doug Overton,1421040816,112742892490,112742892407,140210,112742892260,70,822.6218297580909,82.91141969955287,210.27776694865383,21.171775447623006,2.6530454903275054,18.511466927023033,2.6530454903275054,21.031800942666408,26.193690911860017,8.695696989625596,9.734502553247845,62.75509086651737,72.48959341976523,115.1650916904639,23.953735379625947,2.427120607915185,42.56150249868747,78.66303807807589,189.50768583209964,623,0,0,1,0,0,0,0,0,0,69,0,0
6,84,Latrell Sprewell,3296698499,260919265650,260919265630,324566,260919265500,162,5883.129810563463,968.1705697086176,2355.4262393512627,63.73849429605931,185.26592218590687,571.6120290186905,46.62593813291083,428.26090829161785,526.1539557270261,104.16928539261106,117.51489745785607,486.8499173536108,604.3648148114669,530.0314310801433,167.12135130436522,40.02686031506186,314.2159825707738,216.44145604785263,2549.86796989476,168,145,0,0,0,0,0,0,0,1,0,16,0
7,87,Dikembe Mutombo,9138169648,710280222226,710280222271,884379,710280221014,441,6450.031267913584,521.8924530968001,1027.5274948230003,143.4757296140853,0.0,0.0,0.0,391.4322815053588,547.2013817398416,136.89656017657006,705.003124446203,1391.2776011465169,2096.28072559272,79.89444575887036,96.70701248369686,466.6875378979488,238.43077635338528,698.4455461580936,1435.217187698959,3349,0,0,35,0,75,0,0,0,0,331,0,0
8,89,Nick Van Exel,3287079107,259308653231,259308653221,322670,259308653478,161,3823.3499116197754,644.7797644901493,1654.7916771897185,58.70148347041855,208.24106120433072,623.3525023327533,45.43643700715188,228.1854391043291,318.8048412361842,60.222418797376065,51.23330444496048,345.3359523117999,396.56925675676035,699.7483615590977,91.27769629155289,4.951797088625846,262.4600770122341,201.13212044060538,1725.9860292889584,1229,0,0,0,0,0,44,0,0,71,19,27,0
9,93,Hubert Davis,629323315,49928995273,49928995309,62093,49928995337,31,94.3607318745631,0.9240345172258413,7.96944535426523,0.9240345172258413,0.0,2.193911862103186,0.0,0.20014831294030389,0.20014831294030389,0.10007415647015189,0.3470754598674507,4.28311858558764,4.63019404545509,5.24798858766565,1.175385345591524,0.0,3.6068248901995097,13.176807551722776,2.0482173473919874,279,0,0,0,0,0,0,0,0,0,31,0,0
10,109,Robert Horry,7269606836,566935689781,566935689701,705694,566935691168,352,5638.751821071213,571.6296517341375,1473.9275524588627,116.48140390882357,216.7021436500512,611.3049328090087,87.88777765753646,278.29235859662305,412.1944834646116,108.65682896960585,405.5305212839478,757.362421892323,1162.8929431762708,399.8483633671061,226.44299384227543,236.6310201104183,238.9036464948575,605.3814572258124,1638.2538057149493,2552,0,0,0,0,0,154,0,0,0,198,0,0
11,120,Steven Smith,3031488926,239981299785,239981299783,298514,239981299606,149,1680.0363484379518,227.35683894019016,549.3322479553863,39.49726479305905,81.29191615511299,197.01182068089147,33.676187961498805,156.6525329548699,169.88588460560186,62.5548006544631,47.24009852157736,102.62261577263894,149.8627142942163,111.98215730284508,31.800525249940073,13.991157655611623,74.43541777597085,176.16569113849528,692.6581269903633,1173,0,0,0,0,0,42,0,0,0,107,0,0
